// Compost colors for mcwbiomesoplenty. You may add your own colors, change existing ones, or remove colors that aren't needed.
dead_bamboo_door, #afa79d
hellbark_barn_door, #8e8080
hellbark_barn_glass_door, #9e9090
hellbark_beach_door, #9b8d8d
hellbark_classic_door, #a49696
hellbark_cottage_door, #8e8080
hellbark_four_panel_door, #978989
hellbark_glass_door, #beb8b6
hellbark_japanese2_door, #b2a4a4
hellbark_japanese_door, #aa9b9b
hellbark_modern_door, #9b8d8d
hellbark_mystic_door, #938484
hellbark_nether_door, #908282
hellbark_paper_door, #aca0a0
hellbark_stable_door, #483a3a
hellbark_stable_head_door, #483a3a
hellbark_swamp_door, #867878
hellbark_tropical_door, #484040
hellbark_waffle_door, #938484
hellbark_western_door, #483a3a
hellbark_whispering_door, #938484
jacaranda_bamboo_door, #ffffff
jacaranda_bark_glass_door, #dad3ca
jacaranda_barn_door, #ffffff
jacaranda_barn_glass_door, #ffffff
jacaranda_beach_door, #ffffff
jacaranda_classic_door, #ffffff
jacaranda_cottage_door, #ffffff
jacaranda_four_panel_door, #ffffff
jacaranda_glass_door, #ffffff
jacaranda_japanese2_door, #ffffff
jacaranda_japanese_door, #ffffff
jacaranda_modern_door, #ffffff
jacaranda_mystic_door, #ffffff
jacaranda_nether_door, #ffffff
jacaranda_paper_door, #ffffff
jacaranda_stable_door, #ffffff
jacaranda_stable_head_door, #ffffff
jacaranda_swamp_door, #ffffff
jacaranda_tropical_door, #ffffff
jacaranda_waffle_door, #ffffff
jacaranda_western_door, #ffffff
jacaranda_whispering_door, #ffffff
magic_bamboo_door, #5f8ef0
magic_bark_glass_door, #90bcea
magic_barn_door, #5f8ef0
magic_barn_glass_door, #5f8de7
magic_beach_door, #5f8ef0
magic_classic_door, #5f8eed
magic_cottage_door, #5f8ef0
magic_four_panel_door, #5f8eed
magic_glass_door, #5f8ade
magic_japanese2_door, #5f8edc
magic_japanese_door, #5c8ce0
magic_modern_door, #5f8ef0
magic_mystic_door, #5f8eee
magic_nether_door, #5f8eed
magic_paper_door, #5f8ee1
magic_stable_door, #5f8eee
magic_stable_head_door, #5f8eee
magic_swamp_door, #5f8ef0
magic_tropical_door, #5f8ef0
magic_waffle_door, #5f8eee
magic_western_door, #5f8eed
magic_whispering_door, #5f8eee
mahogany_bamboo_door, #eb9e9b
mahogany_bark_glass_door, #c8beb9
mahogany_barn_door, #f29e9b
mahogany_barn_glass_door, #ed9a97
mahogany_beach_door, #ee9e9b
mahogany_classic_door, #eb9e9b
mahogany_cottage_door, #f29e9b
mahogany_four_panel_door, #f29e9b
mahogany_glass_door, #e79894
mahogany_japanese2_door, #e49a93
mahogany_japanese_door, #e79a94
mahogany_modern_door, #ee9e9b
mahogany_mystic_door, #f19e9b
mahogany_nether_door, #f19e9b
mahogany_paper_door, #e79d9b
mahogany_stable_door, #eb9e9b
mahogany_stable_head_door, #eb9e9b
mahogany_swamp_door, #f49e9b
mahogany_tropical_door, #e89e9b
mahogany_waffle_door, #ed9e9b
mahogany_western_door, #eb9e9b
mahogany_whispering_door, #ee9e9b
maple_bamboo_door, #c99e75
maple_bark_glass_door, #a8a89a
maple_barn_door, #ca9e75
maple_barn_glass_door, #c89a73
maple_beach_door, #ca9e75
maple_classic_door, #ca9e75
maple_cottage_door, #ca9e75
maple_four_panel_door, #ca9e75
maple_glass_door, #c69873
maple_japanese2_door, #c29a73
maple_japanese_door, #c39a72
maple_modern_door, #ca9e75
maple_mystic_door, #ca9e75
maple_nether_door, #ca9e75
maple_paper_door, #c89d75
maple_stable_door, #ca9e75
maple_stable_head_door, #ca9e75
maple_swamp_door, #ca9e75
maple_tropical_door, #ca9e75
maple_waffle_door, #ca9e75
maple_western_door, #ca9e75
maple_whispering_door, #c99e75
palm_bamboo_door, #f5af4b
palm_bark_glass_door, #e7ca93
palm_barn_door, #f8af4b
palm_barn_glass_door, #f2aa4b
palm_beach_door, #f5af4b
palm_classic_door, #f4af4b
palm_cottage_door, #f7af4b
palm_four_panel_door, #f5af4b
palm_glass_door, #eba74b
palm_japanese2_door, #e6a758
palm_japanese_door, #eaa852
palm_modern_door, #f4af4b
palm_mystic_door, #f5af4b
palm_nether_door, #f7af4b
palm_paper_door, #e8ab55
palm_stable_door, #f2af4b
palm_stable_head_door, #f2af4b
palm_swamp_door, #f8af4b
palm_tropical_door, #f0af4b
palm_waffle_door, #f2af4b
palm_western_door, #f4af4b
palm_whispering_door, #f5af4b
pine_bamboo_door, #9e9d50
pine_bark_glass_door, #c8bbab
pine_barn_door, #9e9d50
pine_barn_glass_door, #9d984e
pine_beach_door, #9e9d50
pine_classic_door, #9e9d50
pine_cottage_door, #9e9d50
pine_four_panel_door, #9e9d50
pine_glass_door, #9d9650
pine_japanese2_door, #989457
pine_japanese_door, #989450
pine_modern_door, #9e9d50
pine_mystic_door, #9e9d50
pine_nether_door, #9e9d50
pine_paper_door, #9b9a55
pine_stable_door, #9e9d50
pine_stable_head_door, #9e9d50
pine_swamp_door, #9e9d50
pine_tropical_door, #9e9d50
pine_waffle_door, #9e9d50
pine_western_door, #9e9d50
pine_whispering_door, #9e9d50
redwood_bamboo_door, #f74844
redwood_bark_glass_door, #bfa490
redwood_barn_door, #f84b47
redwood_barn_glass_door, #f04e4a
redwood_beach_door, #f74a46
redwood_classic_door, #f74744
redwood_cottage_door, #f84b47
redwood_four_panel_door, #f8504b
redwood_glass_door, #ea4d4a
redwood_japanese2_door, #e15f5a
redwood_japanese_door, #e65a55
redwood_modern_door, #f84844
redwood_mystic_door, #f74e48
redwood_nether_door, #f84d47
redwood_paper_door, #e65c57
redwood_stable_door, #f8443c
redwood_stable_head_door, #f7443c
redwood_swamp_door, #f84b47
redwood_tropical_door, #f84440
redwood_waffle_door, #f84743
redwood_western_door, #f8443c
redwood_whispering_door, #f84e48
umbran_bamboo_door, #5a5b8e
umbran_bark_glass_door, #939daa
umbran_barn_door, #5a5b8e
umbran_barn_glass_door, #5a5b8a
umbran_beach_door, #5a5b8e
umbran_classic_door, #5a5b8e
umbran_cottage_door, #5a5b8e
umbran_four_panel_door, #5c5b8e
umbran_glass_door, #5a5b87
umbran_japanese2_door, #6b6586
umbran_japanese_door, #665f84
umbran_modern_door, #5a5b8e
umbran_mystic_door, #5c5b8e
umbran_nether_door, #5a5b8e
umbran_paper_door, #69648e
umbran_stable_door, #5a5b8e
umbran_stable_head_door, #5a5b8e
umbran_swamp_door, #5e5b8e
umbran_tropical_door, #5a5b8e
umbran_waffle_door, #5a5b8e
umbran_western_door, #5a5b8e
umbran_whispering_door, #5a5b8e
willow_bamboo_door, #becf9a
willow_bark_glass_door, #b6bbb4
willow_barn_door, #bfd09a
willow_barn_glass_door, #bfcc97
willow_beach_door, #bfd09a
willow_classic_door, #becc9a
willow_cottage_door, #bfd09a
willow_four_panel_door, #bfd09a
willow_glass_door, #bcc596
willow_japanese2_door, #bbc997
willow_japanese_door, #bcc997
willow_modern_door, #bfcd9a
willow_mystic_door, #bfcf9a
willow_nether_door, #bfd09a
willow_paper_door, #becc9a
willow_stable_door, #bccc9a
willow_stable_head_door, #bccc9a
willow_swamp_door, #bfcf9a
willow_tropical_door, #bbc99a
willow_waffle_door, #bfcf9a
willow_western_door, #bbcc9a
willow_whispering_door, #bfcd9a
