// Compost colors for youkaisfeasts. You may add your own colors, change existing ones, or remove colors that aren't needed.
assorted_dango, #fef5e8
red_grape_juice, #ae91c9
red_grape_seeds, #c06846
red_wine, #bcaed7
red_wine_bottle, #401e1c
redbean, #aa3d34
rice_powder_pork, #e6c35b
roasted_lamprey, #c98462
roasted_lamprey_fillet, #ffcab5
roe, #ff7334
roe_california_roll, #ff8047
roe_california_roll_slice, #ff9765
saidi_tea, #c5abcd
sake_bottle, #afeaff
sakura_honey_tea, #ffe8ff
sakura_mochi, #ffffff
salmon_futomaki, #5b614a
salmon_futomaki_slice, #87846b
salmon_lover_roll, #ff7c4a
salmon_lover_roll_slice, #ff9a68
sauce_grilled_fish, #b18758
saucer, #d7dcdd
scholar_ginkgo, #d0aa4b
seafood_miso_soup, #aa8634
seagrass_gunkan, #557c40
seared_tuna, #ffac87
seared_tuna_slice, #f88666
sekibankiyaki, #ffca7a
senbei, #ffffff
seven_colored_yokan, #edcdd0
shaved_ice_over_rice, #e4e4e8
shinnko_maki, #57624a
shinnko_maki_slice, #848c73
shirayuki, #af9468
signature_mushroom_stew, #7d6257
soy_sauce_bottle, #947d73
soy_sauce_flask, #937a70
soybean, #ffd997
steamed_crab, #d24726
steamed_egg_in_bamboo, #eec957
stinky_tofu, #7f705a
suigei, #aba28c
sweet_ormosia_mochi_mixed_boiled, #93763e
tamagoyaki, #ffc858
tamagoyaki_slice, #ffbc51
tarte_lune, #ffffed
tarte_lune_slice, #ffffff
tea_leaves, #79a830
tea_mocha, #ffffff
tea_seeds, #a16634
tekka_maki, #575e4a
tekka_maki_slice, #848773
tengu_tango, #a86e3c
tobiko_gunkan, #985430
tofu, #fffffe
tofu_burger, #dd7370
tofu_crab_stew, #9b5f14
tomato_sauce_cod, #dcab8e
tsukimi_dango, #ffffff
tuna_bucket, #c6b4a2
tuna_nigiri, #fc7d83
tuscan_salmon, #b97a40
tutu_congee, #ebcd69
udumbara_cake, #c59eb4
udumbara_flower, #ffffff
udumbara_leaves, #117a65
van_allen, #bfa7e7
van_allen_bottle, #6e6466
volcano_roll, #fea19b
volcano_roll_slice, #ffccbf
white_grape, #758a4a
white_grape_juice, #b1d7d9
white_grape_seeds, #b87962
white_tea, #e6ffff
white_tea_leaves, #ded38e
white_wine, #ebffff
white_wine_bottle, #5e512f
wild_black_grape, #4a753e
wild_cucumber, #3e7234
wild_red_grape, #69762f
wild_redbean, #afbf44
wild_soybean, #ebb54b
wild_tea, #9ac858
wild_udumbara, #b6f5f7
wild_white_grape, #6c8e23
yakumo_inari, #ffa562
yashouma_dango, #ffffff
yellow_tea, #e4ebdd
yellow_tea_leaves, #806808
