// Compost colors for primogemcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
aaixubingyuduanpian, #65e4f5
yiyinhedaletou, #ffffff
youdianqiqiaodedaima, #898ded
ysfc, #fffeee
ysjbfpk, #d0f1ff
ysjfr, #af5529
ysjshuijingcu, #72ffff
ysjsj, #61fefa
ysrqsp, #6efaff
ysrz_0, #55d9ea
ysrzspsx, #76ffff
yssp, #eaffff
yuanshi, #ffffff
yuanshichutou, #9a988a
yuanshif, #bbf2ff
yuanshifu, #bfc6bb
yuanshigao, #afb9b9
yuanshijian, #dafcff
yuanshiqiao, #d3dadd
yuanshiyuanpei, #ffffff
yuansujingti, #fffcff
yuzhousuipian, #c8a178
yxaxg, #5fa0a0
yyanziyueliangchangpian, #b5a78c
zfg, #729b9b
zfzr, #d2b56b
zhaiquan, #fcf0d9
zhapiandingzhengshi, #585152
zhjs, #96fc58
zhjsl, #7fea57
zhongguizhongjudedaima, #ffd97c
zhongkouweitieding, #aba59e
zhuangmanlajidelajitong, #a79aa5
zhzhenyinhedaletou, #ffffff
zizaichu, #549369
zizaifu, #58a476
zizaiqiao, #61aa7c
zizgao, #4a895f
ziziyousongshisuixie, #62e3b9
zsc, #a061b2
zsf, #ae68c8
zsg, #9457a8
zsq, #b873ca
zssp, #73e3dd
zuishengduanpian, #e17aff
zuishengkuai, #f486ff
zuishengsuixie, #fc89ff
zuishengzijing, #e780ff
zyjs, #7ae6ff
zyjsl, #6cd6ff
zziyousongshi, #5bddac
zziyousongshiduanpian, #5cedc0
zziyousongshikuai, #5fe0af
zzjll, #72e1ab
zzjs, #62e4a8
