// Compost colors for extradelight. You may add your own colors, change existing ones, or remove colors that aren't needed.
aebleflaesk, #c0764d
lemon_meringue_pie_slice, #ffff7a
lemon_petal_litter_item, #ffffe8
lemon_posset, #f5ffe3
lemon_sapling, #91b832
lemon_zest, #ffff28
lemonade, #ffffdd
lime, #cbe07
lime_juice, #f0fff8
lime_juice_fluid_bucket, #bfc9ab
lime_petal_litter_item, #ffffd0
lime_sapling, #3e981f
lime_souffle, #f1f796
lime_zest, #c8ff5b
limeade, #e7fff1
liver_onions, #b66f30
lugaw, #a78c5b
macaroni, #f8be41
macaroni_cheese, #b5831f
mallow_cup, #5b4337
mallow_powder, #ffffff
mallow_root, #c89868
marshmallow, #ffffff
marshmallow_fluff_bottle, #ffffff
marshmallow_fluff_fluid_bucket, #e4e3de
marshmallow_slice, #ffb1b8
mashed_potato_gravy, #895b2c
mashed_soybeans_item, #ae834a
mayo_fluid_bucket, #c9c8be
mayo_jar_item, #d0c9e6
meat_pie_block_item, #ffc573
meat_pie_slice, #fbb162
meatloaf, #a86528
meatloaf_sandwich, #eba25a
melon_chunks, #fa2216
melon_fruit_salad_serving, #b1682f
melon_gazpacho, #a2581e
melon_juice_fluid_bucket, #c0afae
melon_layer_cake_item, #c0943e
melon_layer_cake_slice, #de7552
melon_lime_glazed_chicken, #b17a2a
melon_rind, #bfb651
melon_rind_stirfry, #c09347
meringue, #ffffff
milk_chocolate_bar, #865743
milk_chocolate_chips, #805440
milk_chocolate_dipped_apple_slice, #c36251
milk_chocolate_dipped_bacon, #a55b51
milk_chocolate_dipped_coffee_bean, #764130
milk_chocolate_dipped_glow_berry, #97793a
milk_chocolate_dipped_graham_cracker, #aa703d
milk_chocolate_dipped_marshmallow, #ead4c2
milk_chocolate_dipped_sweet_berry, #6e4b37
milk_chocolate_door, #8c5c47
milk_chocolate_filled_bar, #8d5e47
milk_chocolate_syrup_bottle, #b4a5ab
milk_chocolate_syrup_fluid_bucket, #aca29e
milk_chocolate_truffle, #c59066
milk_tart_feast, #ffca87
milk_tart_slice, #dca872
milkshake, #ffffff
milkshake_fluid_bucket, #cdccc8
mint, #167248
mint_candy_blue, #e0fcff
mint_candy_green, #e7ffe0
mint_candy_red, #ffe1e0
mint_chip_ice_cream, #8e9d54
mint_chip_milkshake, #dcfff2
mint_jelly, #a2a898
mint_lamb, #8e6530
miso_paste_item, #d3ac87
miso_soup, #72571b
mississippi_mud_pie, #8c7873
mississippi_mud_pie_slice, #9b7f78
monkey_bread, #824711
morkovcha, #8c4d05
muffin_apple, #9d6e29
muffin_cinnamon, #935f19
muffin_ginger, #98722c
muffin_sweet_berry, #986223
mulligatawny_soup, #a16f2d
mushroom_burger, #b57f41
mushroom_risotto, #ab704b
naem_moo_item, #a8b55f
natto_and_rice, #c0a276
natto_item, #bb9768
netherite_spoon, #5e4650
nougat, #ffffff
nut_butter_cookie, #fc9d48
nut_butter_cookie_dough, #ffcc6b
nut_butter_custard, #fffffa
nut_butter_ice_cream, #c38233
nut_butter_milkshake, #ffffff
oil_fluid_bucket, #bfbcaf
omelette, #ffcd30
omelette_mix, #a27c25
onion_bhaji, #ea7a19
onion_soup, #cc9d4e
orange, #ff9418
orange_chicken, #b86105
orange_juice, #fffcda
orange_juice_fluid_bucket, #dac5a0
orange_petal_litter_item, #ffffe8
orange_sapling, #8d9420
orange_zest, #ffb114
orangeade, #fff0c8
oxtail_soup, #964a14
pamonha, #e6c339
panforte, #be8a72
panforte_slice, #d0a084
pasta_alfredo, #f1d790
pasta_tomato, #c37640
pavlova_slice, #ffffd3
peanut_brittle, #ffcd4d
peanut_butter_bottle, #deaf94
peanut_butter_cup, #472815
peanut_butter_fluid_bucket, #bca791
peanut_butter_jelly, #da8e3e
peanuts, #f1aa50
peanuts_in_shell, #eaa248
peeled_ginger, #ffe855
penne, #ffcc46
penne_all_arrabbiata, #aa6225
peppermint_bark, #ffb6b5
pickle_juice, #d4d691
pickle_juice_fluid_bucket, #b4b59a
pickled_beet_item, #940e34
pickled_carrot_item, #ea8e00
pickled_egg_item, #ffffd4
pickled_fish_item, #ede4ac
pickled_ginger, #ffccaa
pickled_onion_item, #c99437
pickled_rind_item, #ffee73
pickled_sausage_item, #ab3a57
popcorn, #d9b679
pork_and_apples, #da9044
pork_stew, #b67c2d
pork_stew_rice, #cd9d5b
pork_tenderloin, #ffae16
pork_tenderloin_sandwich, #f59319
potato_au_gratin, #be962f
potato_chips, #ffeb76
potato_salad, #c0a454
potato_soup, #a78d4d
potato_sticks, #ffe786
potroast, #966219
preserved_lemon_item, #ffff41
preserved_lemon_pasta, #ebc865
pulled_pork_sandwich, #bc7329
pumpkin_cheesecake, #ffca52
pumpkin_cheesecake_slice, #ffd073
pumpkin_cookie, #ffa011
pumpkin_cookie_dough, #ffc21e
pumpkin_custard, #fffcd7
pumpkin_ice_cream, #c59150
pumpkin_milkshake, #ffffe8
pumpkin_pie_item, #ffb95a
pumpkin_pie_slice, #ffc073
pumpkin_roll, #c87f55
punch, #f88ec5
quiche, #ffca57
quiche_slice, #ffc955
rabbit_stew_rice, #c5945c
rack_lamb, #a4611b
raw_baked_alaska_item, #ffffff
raw_cinnamon, #ff8700
raw_gingerbread_alex, #b94604
raw_gingerbread_creeper, #b84604
raw_gingerbread_diamond, #c54804
raw_gingerbread_emerald, #c24704
raw_gingerbread_pickaxe, #a74107
raw_gingerbread_steve, #b94604
raw_gingerbread_sword, #b14404
raw_gingerbread_villager, #c24804
raw_sugar_cookie_alex, #ffe672
raw_sugar_cookie_creeper, #ffe672
raw_sugar_cookie_diamond, #ffe770
raw_sugar_cookie_emerald, #ffe873
raw_sugar_cookie_pickaxe, #ffdc6e
raw_sugar_cookie_steve, #ffe672
raw_sugar_cookie_sword, #ffe16f
raw_sugar_cookie_villager, #ffeb75
rice_pudding, #ffffff
riceball, #f7ebd6
riceball_filled, #ebddc6
roasted_apple, #e83704
roasted_carrot, #e16905
roasted_cocoa_beans, #4e2204
roasted_garlic, #fbbb54
roasted_hazelnuts, #c25408
roasted_peanuts, #c96605
roasted_pumpkin_seeds, #f2b855
rocky_road, #734b3e
roll, #b98928
rombosse, #ff8a4b
salad, #a4974e
salami_mix, #ff6440
salisbury_steak, #8c5820
salt, #fffef2
sauerkraut_and_sausage, #b5874b
sauerkraut_item, #dcbf79
sauerkraut_soup, #946c36
sausage_roll, #a87829
scotcharoo, #83542c
scrambled_eggs, #f0b12f
seaweed_crisps, #9d6530
seaweed_paste, #7fc35f
seaweed_salad, #847218
shirazi_salad, #96702c
shredded_cabbage_item, #a7f772
sliced_apple, #f47d69
sliced_beetroot_item, #b82d28
sliced_chili, #d3231c
sliced_cucumber_item, #a5d247
sliced_gherkin_item, #b5e1c6
sliced_ginger, #ffe851
sliced_grapefruit, #ffaade
sliced_lemon, #ffff5b
sliced_lime, #80fa52
sliced_onion, #ffd4fe
sliced_orange, #ffb948
sliced_potato, #fffcaf
sliced_tomato, #f45e66
smore, #de832d
soaked_soybeans_item, #91734b
sos, #f8a06c
soy_glazed_salmon_item, #ae803d
soy_milk, #ffffff
soy_sauce_item, #89706b
soybean_pod, #879005
soybeans, #fec890
steak_pickled_onion_pie_item, #ffc876
steak_pickled_onion_pie_slice, #ffbc68
stewed_apples, #aa651c
sticky_toffee_pudding_slice, #895418
stiff_peaks, #d7c09b
stirfry, #ab8c5b
stone_spoon, #7a7569
stuffed_apple, #8e4007
stuffed_apple_ice_cream, #a77541
stuffed_cactus, #ffb93e
stuffed_heart, #ae5816
stuffed_mushrooms, #c88244
stuffing, #905112
sugar_cookie, #ffc269
sugar_cookie_alex, #c6a226
sugar_cookie_creeper, #ffaa57
sugar_cookie_diamond, #ffc066
sugar_cookie_dough, #ffffc0
sugar_cookie_emerald, #ffb561
sugar_cookie_pickaxe, #ff9e50
sugar_cookie_steve, #caa428
sugar_cookie_sword, #ac8e11
sugar_cookie_villager, #e14b26
sunflower_seeds, #797968
sweet_berry_cookie_dough, #ffcd9a
sweet_berry_custard, #edbcc2
sweet_berry_fluid_bucket, #c3a0a0
sweet_berry_ice_cream, #ac6436
sweet_berry_juice, #dd8394
sweet_berry_milkshake, #ffcde0
sweet_berry_pie, #ffa561
sweet_berry_pie_slice, #f08351
sweet_berry_popsicle, #e74a37
tarte_tatin_slice, #e3892f
tea, #b5b2b8
tea_fluid_bucket, #aca4a0
thai_melon_salad, #8a682d
toast, #eeac4e
toffee, #805022
tomato_juice, #dd9b94
tomato_juice_fluid_bucket, #c2a4a0
tomato_soup, #8e4018
trail_mix, #c66839
unshucked_corn, #73a152
vinegar, #94503a
vinegar_fluid_bucket, #c2c2be
whipped_cream, #beb89b
whipped_cream_fluid_bucket, #cad0d2
white_chili, #a57c3d
white_chocolate_bar, #ffffbb
white_chocolate_chips, #ffffb1
white_chocolate_dipped_apple_slice, #ffaf82
white_chocolate_dipped_bacon, #ffae87
white_chocolate_dipped_coffee_bean, #e7aa72
white_chocolate_dipped_glow_berry, #eac86b
white_chocolate_dipped_graham_cracker, #f2b466
white_chocolate_dipped_marshmallow, #fffff0
white_chocolate_dipped_sweet_berry, #c39a68
white_chocolate_door, #fffcac
white_chocolate_filled_bar, #ffffb4
white_chocolate_syrup_bottle, #fffff7
white_chocolate_syrup_fluid_bucket, #d3c9b9
white_chocolate_truffle, #f4bf80
wild_chili_block, #8d7036
wild_cucumber_item, #44960b
wild_garlic_block, #c6c3b9
wild_ginger, #7c8a15
wild_mallow_root_block, #b9d7ac
wild_peanut_block, #93c226
wild_soybean_item, #b1a723
wooden_spoon, #6e521f
xocolati, #cdb6cd
yeast, #ede7e8
yeast_spread, #989879
zupa_ogorkowa, #84732a
