// Compost colors for immersiveengineering. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_hanging_sign, #d6e7e4
nugget_nickel, #b2b8a7
nugget_silver, #bcc6cd
nugget_steel, #9a8980
nugget_uranium, #66755c
pickaxe_steel, #7c6257
plate_aluminum, #e8f4f2
plate_constantan, #ffcab8
plate_copper, #ffdcc9
plate_duroplast, #dc8330
plate_electrum, #ffe49e
plate_gold, #fcf08a
plate_hop_graphite, #808080
plate_iron, #f0f0f0
plate_lead, #afb4c3
plate_nickel, #f5faed
plate_silver, #ffffff
plate_steel, #a7a7a7
plate_uranium, #a2aa9d
raw_aluminum, #ff866e
raw_lead, #5a6175
raw_nickel, #cdd4c2
raw_silver, #d4e0e7
raw_uranium, #7a8a6e
robot_wolf, #797372
rockcutter, #7d9894
sawblade, #8d8a8a
screwdriver, #fffaf1
seed, #ffffff
shader_acepride, #ffffff
shader_ancient, #ffffff
shader_angelsthesis, #ffffff
shader_argo, #ffffff
shader_astartes, #ffffff
shader_bag_common, #969696
shader_bag_epic, #969696
shader_bag_immersiveengineering_masterwork, #969696
shader_bag_rare, #969696
shader_bag_uncommon, #969696
shader_bipride, #ffffff
shader_chloris, #ffffff
shader_crescentrose, #ffffff
shader_crimsonlotus, #ffffff
shader_darkfire, #ffffff
shader_dominator, #ffffff
shader_dragonsbreath, #ffffff
shader_enbypride, #ffffff
shader_erruption, #ffffff
shader_exia, #ffffff
shader_eyas, #ffffff
shader_felix, #ffffff
shader_fox, #ffffff
shader_gaypride, #ffffff
shader_glacis, #ffffff
shader_harrowed, #ffffff
shader_hawk, #ffffff
shader_hollow, #ffffff
shader_ikelos, #ffffff
shader_kindled, #ffffff
shader_lesbianpride, #ffffff
shader_locus, #ffffff
shader_lususnaturae, #ffffff
shader_magnum, #ffffff
shader_massfusion, #ffffff
shader_matrix, #ffffff
shader_microshark, #ffffff
shader_milo, #ffffff
shader_n7, #ffffff
shader_netherforged, #ffffff
shader_normandy, #ffffff
shader_omnitool, #ffffff
shader_phoenix, #ffffff
shader_qrow, #ffffff
shader_radiant, #ffffff
shader_regal, #ffffff
shader_rosequartz, #ffffff
shader_sharkface, #ffffff
shader_sponsor, #ffffff
shader_stormflower, #ffffff
shader_sunstrike, #ffffff
shader_sutherland, #ffffff
shader_taken, #ffffff
shader_transpride, #ffffff
shader_trident, #ffffff
shader_twili, #ffffff
shader_usurper, #ffffff
shader_vanguard, #ffffff
shader_vaulttec, #ffffff
shader_waaagh, #ffffff
shader_warbird, #ffffff
shovel_steel, #907569
skyhook, #987f73
slag, #806f66
speedloader, #fbfbfb
steel_door, #7a7a7a
steel_hanging_sign, #cdcdcd
steel_sign, #cacaca
stick_aluminum, #d7e6e4
stick_iron, #d3d3d3
stick_netherite, #686164
stick_steel, #989898
stick_treated, #ffffff
survey_tools, #f1e1cc
sword_steel, #898382
toolupgrade_buzzsaw_spareblades, #8a6b57
toolupgrade_chemthrower_focus, #fffcfc
toolupgrade_chemthrower_multitank, #655b57
toolupgrade_drill_capacity, #ffffff
toolupgrade_drill_damage, #ffffff
toolupgrade_drill_fortune, #7d6668
toolupgrade_drill_lube, #ffffff
toolupgrade_drill_waterproof, #faffff
toolupgrade_powerpack_antenna, #ffffff
toolupgrade_powerpack_induction, #f5bc91
toolupgrade_powerpack_magnet, #97706b
toolupgrade_powerpack_tesla, #f0caaa
toolupgrade_railgun_capacitors, #846c66
toolupgrade_railgun_scope, #d7b58a
toolupgrade_revolver_bayonet, #b29072
toolupgrade_revolver_electro, #b4a89e
toolupgrade_revolver_magazine, #fff0da
toolupgrade_shield_flash, #b1a4a0
toolupgrade_shield_magnet, #6b4a40
toolupgrade_shield_shock, #bfaba2
toolupgrade_skyhook_insulation, #c57630
toolupgrade_skyhook_mace, #685e61
toolupgrade_skyhook_slope, #8d7068
treated_door, #73442c
treated_door_framed, #73513e
treated_wood_hanging_sign, #724a36
treated_wood_sign, #72432c
warning_sign_arrow_double_down, #ffe36e
warning_sign_arrow_double_left, #ffe36e
warning_sign_arrow_double_right, #ffe36e
warning_sign_arrow_double_up, #ffe36e
warning_sign_arrow_down, #ffe36e
warning_sign_arrow_left, #ffe36e
warning_sign_arrow_right, #ffe36e
warning_sign_arrow_up, #ffe36e
warning_sign_attention, #ffe36e
warning_sign_cat, #ffe36e
warning_sign_cold, #ffe36e
warning_sign_creeper, #ffe36e
warning_sign_ear_defenders, #ffe36e
warning_sign_electric, #ffe36e
warning_sign_falling, #ffe36e
warning_sign_fire, #ffe36e
warning_sign_hot, #ffe36e
warning_sign_magnet, #ffe36e
warning_sign_shrieker, #ffe36e
warning_sign_sound, #ffe36e
warning_sign_turret, #ffe36e
warning_sign_villager, #ffe36e
warning_sign_warden, #ffe36e
waterwheel_segment, #ffffff
windmill_blade, #fffffa
windmill_sail, #ffffff
wire_aluminum, #ffffff
wire_copper, #ffcdbb
wire_electrum, #ffffff
wire_lead, #ffffff
wire_steel, #ffffff
wirecoil_copper, #f5dacc
wirecoil_copper_ins, #eee0d3
wirecoil_electrum, #fee4cc
wirecoil_electrum_ins, #e3d4ca
wirecoil_redstone, #f0cac5
wirecoil_steel, #e6d7cf
wirecoil_structure_rope, #ead6c6
wirecoil_structure_steel, #dccfc6
wirecutter, #ffffff
wooden_grip, #ffffff
