// Compost colors for primogemcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
aaixubingyuduanpian, #65e4f5
shengjijlhjwp, #eba18c
shengjijltiewp, #e1ca87
shengjijlzswp, #cad9ab
shengjizizaihej, #98a7b8
shengjizizaitie, #8ed0b4
shengjizizaizuan, #78ded7
shengjizuanshejin, #9bbfac
shengzhangbifei, #7de466
shengzhangbifeisuixie, #79e855
shengzhangduanpian, #89f169
shengzhangkuai, #7cf261
shenmilihe, #ffeeb6
shenshenghuaban, #ffc8ff
shilianchou, #fff1ff
shiwutsslm, #b4ffd9
shqwfnj, #a2a2a2
shqwyhdlt, #e1e1e1
shxjdlt, #eeeeee
sjbcq, #837d97
sjzshj, #dd82ed
sjzst, #d4abe8
sjzszsshj, #e09ae1
skjinb, #b5a8f4
ssanbamiantou, #ffdcff
sshengjijlzsshjwp, #eeb980
sshenhudezhufu_013, #aca4e4
ssjzszs, #bcb9ff
suiji_1shijian, #f1fabe
suijiwupin, #b2b2b2
szbfzsshjsj, #a7c086
szc, #6eaa39
szf, #76b14b
szg, #80b850
szhjj, #8ea251
szhjkj_boots, #666c3a
szhjkj_chestplate, #9a9d61
szhjkj_helmet, #73734b
szhjkj_leggings, #6c6644
szhjsj, #a4a891
szkjtie_boots, #828e89
szkjtie_chestplate, #b5b8ac
szkjtie_helmet, #83867f
szkjtie_leggings, #8d8d8a
szq, #c5da7a
szsjtie, #9ad28d
sztj, #759e6b
szzsj, #65af64
szzskj_boots, #58a472
szzskj_chestplate, #6cdeac
szzskj_helmet, #47a783
szzskj_leggings, #44b597
szzssj, #83e0b1
taikongmanbuchangpian, #b2ab93
tashanglvtuchangpian, #a17655
tcllk, #ffdcff
tclwqcjq, #d9a8dd
tclzhaiquan, #fffeff
teshukuijia_01_boots, #ff2323
teshukuijia_01_chestplate, #ff2323
teshukuijia_01_helmet, #ff2323
teshukuijia_01_leggings, #ff2323
tezhidieyingqi, #d3ffff
tiankongsp, #fffeb1
tiaoguozhang, #ddb5e1
tkzr, #9bffff
wanshinang, #b5aabb
wawanxiangwuchangtou, #798276
weizhiyepian, #fff45f
wmoladai, #ffdc78
wqzhg, #ffb1ff
wufengjian, #dce0de
wuxiandiguidedaima, #c3f0f1
xckf, #d7cfd3
xiangdanganlao, #ffffb8
xiantiaoqiang, #ffb67f
xiaodaimola, #ffe483
xiaodengwupin, #ffb932
xingchen, #dde8ff
xinghui, #fefbff
xingjidaletou, #ffffff
xingqiong, #e0f8ff
xiwangdeyitian_011, #aeb9f2
xixiangyuzhiyuan, #8efeff
xlly, #c8a189
xyzp, #ffd069
ydfms, #aa5441
ydggz, #c8c6ca
yhdltyidie, #cdb6ff
yhjs, #ff90ff
yhjsl, #ffffff
yibangrenzhinang, #ffffff
yingjicunchunang, #fce7e1
yishijiecunzhe, #b6bcd4
yishijiemugun, #faeaff
yiyimuguoshi, #ffee6f
yiyinhedaletou, #ffffff
youdianqiqiaodedaima, #898ded
ysfc, #fffeee
ysjbfpk, #d0f1ff
ysjfr, #af5529
ysjshuijingcu, #72ffff
ysjsj, #6cffff
ysrqsp, #6efaff
ysrz_0, #55d9ea
ysrzspsx, #76ffff
yssp, #eaffff
yuanshi, #ffffff
yuanshichutou, #9a988a
yuanshif, #bbf2ff
yuanshifu, #bfc6bb
yuanshigao, #afb9b9
yuanshijian, #dafcff
yuanshiqiao, #d3dadd
yuanshiyuanpei, #ffffff
yuansujingti, #fffcff
yuzhousuipian, #c8a178
yxaxg, #a8c8c2
yyanziyueliangchangpian, #b5a78c
zfg, #729b9b
zfzr, #d2b56b
zhaiquan, #fcf0d9
zhapiandingzhengshi, #585152
zhjs, #96fc58
zhjsl, #7fea57
zhongguizhongjudedaima, #ffd97c
zhongkouweitieding, #aba59e
zhuangmanlajidelajitong, #a79aa5
zhzhenyinhedaletou, #ffffff
zizaichu, #488c64
zizaifu, #48a87a
zizaihejinjian, #879466
zizaiqiao, #55976f
zizaitiejia_boots, #7a868c
zizaitiejia_chestplate, #b5b9c2
zizaitiejia_helmet, #83868d
zizaitiejia_leggings, #8a8d91
zizaitiejian, #66937d
zizaizuanshijian, #5ba27a
zizaizuantao_boots, #52a583
zizaizuantao_chestplate, #6ce0c2
zizaizuantao_helmet, #47a890
zizaizuantao_leggings, #41b6a0
zizgao, #467f58
ziziyousongshisuixie, #62e3b9
zizizaihejintao_boots, #616e4d
zizizaihejintao_chestplate, #9b9e76
zizizaihejintao_helmet, #72755a
zizizaihejintao_leggings, #68664b
zsc, #c890c2
zsf, #ae5fcc
zsg, #cc7fd3
zshjj, #bc7d96
zshjt_boots, #725558
zshjt_chestplate, #a8897c
zshjt_helmet, #7f655e
zshjt_leggings, #6f5c51
zsq, #b26bc3
zssp, #73e3dd
zstj, #a883b2
zstkj_boots, #878397
zstkj_chestplate, #c3a4c8
zstkj_helmet, #8e7891
zstkj_leggings, #918397
zszsj, #9094ac
zszst_boots, #628e8d
zszst_chestplate, #7accc8
zszst_helmet, #529a96
zszst_leggings, #48aba4
zuishengduanpian, #e17aff
zuishengkuai, #f486ff
zuishengsuixie, #fc89ff
zuishengzijing, #e780ff
zyjs, #7ae6ff
zyjsl, #6cd6ff
zziyousongshi, #5bddac
zziyousongshiduanpian, #5cedc0
zziyousongshikuai, #5fe0af
zzjll, #72e1ab
zzjs, #62e4a8
